地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年
北京市,,1331,1611,1620,1396,28555,1880,1970,1828,1909
天津市,,695,891,1020,943,17305,1070,1037,1019,1232
河北省,,2714,3349,3284,2938,66270,3072,3346,3614,3744
山西省,,1733,1882,2051,2233,40526,2571,2184,2420,2373
内蒙古自治区,,1229,1099,1350,1615,28053,1188,1201,1450,1891
辽宁省,,1887,2259,2441,2223,46453,2405,3120,3488,2417
吉林省,,1024,1099,1097,1228,25934,1173,1234,1767,1408
黑龙江省,,1548,1695,1782,2104,41207,2227,1861,1804,2267
上海市,,1265,1318,1335,1343,24004,1407,1512,1668,1736
江苏省,,3310,3810,3714,3993,72931,3894,4330,4957,5143
浙江省,,2497,2465,2394,2620,49650,3151,4127,4191,4680
安徽省,,2477,2678,2582,2966,60519,4114,3609,2939,3204
福建省,,1245,1573,1906,1670,37388,1756,1847,2167,3450
江西省,,2309,2415,2264,2203,42916,2198,2609,2243,2309
山东省,,3475,3686,4154,4426,85993,4065,4032,4477,4932
河南省,,4737,4614,4931,5228,98606,5424,5319,5707,5664
湖北省,,3005,3283,3115,2999,63476,2773,3248,3460,3257
湖南省,,2896,3110,3156,3150,63752,3181,3326,3023,3343
广东省,,7272,7160,7816,8553,151323,7661,8284,8507,9217
广西壮族自治区,,2466,2627,2715,2798,51199,2487,2516,2713,2581
海南省,,720,812,660,602,11599,624,665,695,736
重庆市,,1375,1509,1432,1494,32462,1543,1467,1496,1470
四川省,,4147,4187,4296,4451,84747,4569,4252,4110,4222
贵州省,,1671,1877,2091,2036,36790,2581,2270,1971,1811
云南省,,2517,2381,2832,2992,50868,2389,2104,2604,2882
西藏自治区,,261,275,275,304,5410,294,275,304,297
陕西省,,1821,2398,2683,2572,50210,1974,2036,2364,2714
甘肃省,,1276,1370,1427,1599,31090,1518,1492,1596,1650
青海省,,295,302,318,334,5883,373,330,346,448
宁夏回族自治区,,323,487,556,355,7036,380,367,375,380
新疆维吾尔自治区,,1202,1244,1178,1216,23520,1188,1179,1151,1284
